iter	Passed	Remaining
914	5165	479
915	5169	474
916	5174	468
917	5179	462
918	5184	456
919	5188	451
920	5192	445
921	5199	439
922	5204	434
923	5209	428
924	5216	422
925	5221	417
926	5225	411
927	5231	405
928	5236	400
929	5240	394
930	5246	388
931	5250	383
932	5254	377
933	5260	371
934	5264	366
935	5269	360
936	5274	354
937	5280	349
938	5285	343
939	5289	337
940	5294	331
941	5299	326
942	5303	320
943	5309	314
944	5314	309
945	5319	303
946	5323	297
947	5329	292
948	5334	286
949	5339	281
950	5345	275
951	5350	269
952	5354	264
953	5360	258
954	5366	252
955	5370	247
956	5376	241
957	5380	235
958	5385	230
959	5389	224
960	5395	218
961	5400	213
962	5405	207
963	5413	202
964	5418	196
965	5423	190
966	5428	185
967	5432	179
968	5437	173
969	5442	168
970	5447	162
971	5452	157
972	5457	151
973	5462	145
974	5467	140
975	5472	134
976	5478	128
977	5482	123
978	5487	117
979	5493	112
980	5497	106
981	5502	100
982	5508	95
983	5512	89
984	5515	83
985	5519	78
986	5524	72
987	5528	67
988	5532	61
989	5537	55
990	5542	50
991	5546	44
992	5550	39
993	5555	33
994	5559	27
995	5562	22
996	5567	16
997	5572	11
998	5576	5
999	5579	0
